stop_words
great
really
good
excellent
better
seen
time
bad
like
year
love
best
quality
really
little
easy
bought
used
works
work
product
got
received
item
quality
price
money
buy
amazon
year
use
didnt
im
worst
star
know
video
people
dont
way
fan
end
new
return
ordered
service
purchased
worked
months
unit
problem
look
doesnt
recommend
need
way
size
small
nice
fit
day
ive
years
loves
old
think
perfect
tried
fun
case
long
broke
worth
right
light
set
thing
cheap
help
want
original
waste
think
version
interesting
loved
